Packet,ItemName,sequence,lengthInBits,startBit,DataType,APID,convertAs,units,source,shortDescription,longDescription
U90_AUXILIARY,VERSION,0,3,0,U3,944,NONE,DN,U90_AUXILIARY,CCSD S Packet Version Number,CCSDS Packet Version Number
U90_AUXILIARY,TYPE,1,1,3,U1,944,NONE,DN,U90_AUXILIARY,CCSDS Packet Type Indicator,CCSDS Packet Type Indicator
U90_AUXILIARY,SEC_HDR_FLG,2,1,4,U1,944,NONE,DN,U90_AUXILIARY,CCSDS Packet Secondary Header Flag,CCSDS Packet Secondary Header Flag
U90_AUXILIARY,PKT_APID,3,11,5,U11,944,NONE,DN,U90_AUXILIARY,CCSDS Packet Application Process ID,CCSDS Packet Application Process ID
U90_AUXILIARY,SEG_FLGS,4,2,16,U2,944,NONE,DN,U90_AUXILIARY,CCSDS Packet Grouping Flags,CCSDS Packet Grouping Flags
U90_AUXILIARY,SRC_SEQ_CTR,5,14,18,U14,944,NONE,DN,U90_AUXILIARY,CCSDS Packet Sequence Count,CCSDS Packet Sequence Count
U90_AUXILIARY,PKT_LEN,6,16,32,U16,944,NONE,DN,U90_AUXILIARY,CCSDS Packet Length,CCSDS Packet Length
U90_AUXILIARY,SHCOARSE,7,32,48,U32,944,NONE,DN,U90_AUXILIARY,CCSDS Packet  2nd Header Coarse Time,CCSDS Packet 2nd Header Coarse Time
U90_AUXILIARY,TIMESPINSTART,8,32,80,U32,944,NONE,DN,U90_AUXILIARY,Spin Start Seconds,Spin Start Seconds
U90_AUXILIARY,TIMESPINSTARTSUB,9,16,112,U16,944,NONE,DN,U90_AUXILIARY,Spin Start Subseconds,Spin Start Subseconds
U90_AUXILIARY,DURATION,10,16,128,U16,944,NONE,DN,U90_AUXILIARY,Spin Duration,Spin Duration
U90_AUXILIARY,SPINNUMBER,11,32,144,U32,944,NONE,DN,U90_AUXILIARY,Spin Number,Spin Number
U90_AUXILIARY,TIMESPINDATA,12,32,176,U32,944,NONE,DN,U90_AUXILIARY,Spin DataTime,Spin DataTime
U90_AUXILIARY,SPINPERIOD,13,16,208,U16,944,NONE,DN,U90_AUXILIARY,Spin Period,Spin Period
U90_AUXILIARY,SPINPHASE,14,16,224,U16,944,NONE,DN,U90_AUXILIARY,Spin Phase,Spin Phase
U90_AUXILIARY,SPINPERIODVALID,15,1,240,U1,944,STATE,DN,U90_AUXILIARY,Spin Period Valid,Spin Period Valid
U90_AUXILIARY,SPINPHASEVALID,16,1,241,U1,944,STATE,DN,U90_AUXILIARY,Spin Phase Valid,Spin Phase Valid
U90_AUXILIARY,SPINPERIODSOURCE,17,1,242,U1,944,STATE,DN,U90_AUXILIARY,Spin Period Source,Spin Period Source
U90_AUXILIARY,CATBEDHEATERFLAG,18,1,243,U1,944,STATE,DN,U90_AUXILIARY,Catbed Heater,Catbed Heater
U90_AUXILIARY,SPARE1,19,4,244,U4,944,NONE,DN,U90_AUXILIARY,Spare,Spare
U90_AUXILIARY,INTS,20,8,248,U8,944,NONE,DN,U90_AUXILIARY,Spins,Spins
U90_AUXILIARY,INTN1,21,8,256,U8,944,NONE,DN,U90_AUXILIARY,Integration Multiplier 1,Integration Multiplier 1
U90_AUXILIARY,INTN2,22,8,264,U8,944,NONE,DN,U90_AUXILIARY,Integration Multiplier 2,Integration Multiplier 2
U90_AUXILIARY,SPARE2,23,4,272,U4,944,NONE,DN,U90_AUXILIARY,Reserved,Reserved
U90_AUXILIARY,HWMODE,24,1,276,U1,944,STATE,DN,U90_AUXILIARY,Hardware Mode,Hardware Mode
U90_AUXILIARY,IMCENB,25,1,277,U1,944,STATE,DN,U90_AUXILIARY,IMC Enb,IMC Enb
U90_AUXILIARY,LEFTDEFLECTIONCHARGE,26,1,278,U1,944,STATE,DN,U90_AUXILIARY,Left Deflection,Left Deflection
U90_AUXILIARY,RIGHTDEFLECTIONCHARGE,27,1,279,U1,944,STATE,DN,U90_AUXILIARY,Right Deflection,Right Deflection
U90_AUXILIARY,SPARE3,28,8,280,U8,944,NONE,DN,U90_AUXILIARY,Spare,Spare